Gene,GC,AU,Length,Polar%,Non-Polar%
YKL058W   ,41.2      ,30.9      ,369       ,27.9      ,72.1
YKL059C   ,42.6      ,35.0      ,1326      ,22.4      ,77.6
YKL060C   ,45.2      ,28.8      ,1080      ,26.0      ,74.0
YKL061W   ,34.8      ,40.1      ,342       ,25.1      ,74.9
YKL062W   ,39.4      ,33.9      ,1893      ,26.7      ,73.3
YKL063C   ,35.7      ,42.1      ,504       ,22.2      ,77.8
YKL064W   ,39.5      ,33.4      ,2910      ,27.1      ,72.9
YKL065C   ,38.2      ,33.8      ,621       ,28.0      ,72.0
YKL067W   ,39.6      ,31.0      ,462       ,29.4      ,70.6
YKL068W   ,40.7      ,33.8      ,2880      ,25.5      ,74.5
YKL072W   ,36.7      ,35.4      ,2301      ,27.9      ,72.1
YKL074C   ,39.0      ,34.5      ,1584      ,26.6      ,73.4
YKL075C   ,37.8      ,36.7      ,1353      ,25.5      ,74.5
YKL077W   ,37.6      ,33.1      ,1179      ,29.3      ,70.7
YKL078W   ,39.4      ,32.4      ,2208      ,28.2      ,71.8
YKL079W   ,37.2      ,37.1      ,1971      ,25.7      ,74.3
YKL080W   ,38.4      ,31.3      ,1179      ,30.3      ,69.7
YKL081W   ,39.8      ,30.2      ,1565      ,30.0      ,70.0
YKL082C   ,38.1      ,43.8      ,1305      ,18.2      ,81.8
YKL084W   ,41.3      ,28.2      ,351       ,30.5      ,69.5
YKL085W   ,45.3      ,28.5      ,1005      ,26.3      ,73.7
YKL086W   ,59.1      ,24.0      ,384       ,16.9      ,83.1
YKL087C   ,44.1      ,32.4      ,675       ,23.4      ,76.6
YKL088W   ,40.9      ,36.7      ,1716      ,22.4      ,77.6
YKL089W   ,38.7      ,37.5      ,1650      ,23.8      ,76.2
YKL092C   ,34.4      ,36.9      ,3315      ,28.7      ,71.3
YKL093W   ,42.3      ,32.6      ,1020      ,25.1      ,74.9
YKL094W   ,42.6      ,31.1      ,942       ,26.3      ,73.7
YKL095W   ,40.1      ,40.0      ,837       ,19.8      ,80.2
YKL096W   ,46.0      ,24.2      ,720       ,29.9      ,70.1
YKL098W   ,43.9      ,29.3      ,1074      ,26.8      ,73.2
YKL099C   ,38.7      ,39.9      ,771       ,21.4      ,78.6
YKL100C   ,36.8      ,30.4      ,1764      ,32.8      ,67.2
YKL101W   ,38.5      ,35.4      ,4557      ,26.1      ,73.9
YKL103C   ,43.9      ,29.8      ,1545      ,26.3      ,73.7
YKL104C   ,38.9      ,30.8      ,2154      ,30.3      ,69.7
YKL105C   ,40.8      ,36.6      ,3399      ,22.7      ,77.3
YKL106C   ,44.2      ,33.3      ,120       ,22.5      ,77.5
YKL106W   ,38.6      ,32.3      ,1356      ,29.1      ,70.9
YKL107W   ,42.2      ,32.0      ,930       ,25.8      ,74.2
YKL108W   ,40.5      ,37.2      ,1362      ,22.3      ,77.7
YKL109W   ,38.2      ,34.8      ,1665      ,27.0      ,73.0
YKL110C   ,39.8      ,33.4      ,942       ,26.8      ,73.2
YKL112W   ,39.6      ,36.5      ,2196      ,23.9      ,76.1
YKL113C   ,40.1      ,35.8      ,1149      ,24.1      ,75.9
YKL114C   ,38.5      ,34.8      ,1104      ,26.7      ,73.3
YKL116C   ,39.6      ,32.4      ,1557      ,28.0      ,72.0
YKL120W   ,39.1      ,31.7      ,975       ,29.2      ,70.8
YKL121W   ,38.1      ,33.9      ,2559      ,28.0      ,72.0
YKL122C   ,36.1      ,41.7      ,504       ,22.2      ,77.8
YKL124W   ,38.7      ,33.7      ,1740      ,27.6      ,72.4
YKL125W   ,37.8      ,33.7      ,1884      ,28.5      ,71.5
YKL126W   ,38.1      ,32.0      ,2043      ,29.9      ,70.1
YKL127W   ,41.0      ,30.1      ,1713      ,28.9      ,71.1
YKL128C   ,43.7      ,30.4      ,888       ,25.9      ,74.1
YKL129C   ,39.2      ,35.0      ,3816      ,25.8      ,74.2
YKL130C   ,37.8      ,32.1      ,741       ,30.1      ,69.9
YKL132C   ,40.1      ,31.6      ,1293      ,28.3      ,71.7
YKL133C   ,36.4      ,36.1      ,1392      ,27.5      ,72.5
YKL135C   ,37.0      ,34.3      ,2181      ,28.7      ,71.3
YKL137W   ,35.6      ,39.4      ,312       ,25.0      ,75.0
YKL138C   ,37.9      ,37.4      ,396       ,24.7      ,75.3
YKL139W   ,36.2      ,37.8      ,1587      ,26.0      ,74.0
YKL140W   ,37.5      ,31.9      ,1647      ,30.6      ,69.4
YKL141W   ,41.9      ,26.6      ,597       ,31.5      ,68.5
YKL142W   ,38.8      ,34.5      ,660       ,26.7      ,73.3
YKL143W   ,38.9      ,37.3      ,1392      ,23.8      ,76.2
YKL144C   ,38.7      ,33.6      ,639       ,27.7      ,72.3
YKL145W   ,41.5      ,32.1      ,1404      ,26.4      ,73.6
YKL146W   ,45.3      ,26.8      ,2079      ,27.9      ,72.1
YKL148C   ,45.8      ,27.6      ,1923      ,26.6      ,73.4
YKL149C   ,38.1      ,33.9      ,1218      ,28.0      ,72.0
YKL150W   ,41.4      ,30.6      ,909       ,28.1      ,71.9
YKL151C   ,43.2      ,32.0      ,1014      ,24.9      ,75.1
YKL159C   ,38.5      ,35.5      ,636       ,25.9      ,74.1
YKL160W   ,40.2      ,35.8      ,438       ,24.0      ,76.0
YKL163W   ,46.0      ,25.6      ,978       ,28.4      ,71.6
YKL165C   ,36.8      ,29.5      ,234       ,33.8      ,66.2
YKL166C   ,39.6      ,34.6      ,1197      ,25.8      ,74.2
YKL167C   ,36.2      ,37.2      ,414       ,26.6      ,73.4
YKL168C   ,40.0      ,33.1      ,2205      ,26.9      ,73.1
YKL170W   ,40.5      ,34.8      ,417       ,24.7      ,75.3
YKL171W   ,40.6      ,32.3      ,2787      ,27.1      ,72.9
YKL172W   ,39.5      ,41.3      ,1284      ,19.2      ,80.8
YKL173W   ,38.2      ,33.4      ,3027      ,28.4      ,71.6
YKL174C   ,38.3      ,27.2      ,1857      ,34.4      ,65.6
YKL175W   ,42.3      ,27.1      ,1512      ,30.7      ,69.3
YKL176C   ,39.4      ,31.6      ,2487      ,29.0      ,71.0
YKL178C   ,37.9      ,30.3      ,1413      ,31.8      ,68.2
YKL179C   ,36.9      ,39.7      ,2040      ,23.5      ,76.5
YKL180W   ,38.1      ,33.2      ,861       ,28.7      ,71.3
YKL183W   ,48.2      ,30.3      ,921       ,21.5      ,78.5
YKL184W   ,39.8      ,29.6      ,1401      ,30.6      ,69.4
YKL185W   ,40.2      ,33.7      ,1767      ,26.1      ,73.9
YKL186C   ,42.3      ,34.1      ,555       ,23.6      ,76.4
YKL187C   ,43.4      ,28.8      ,2253      ,27.8      ,72.2
YKL188C   ,36.7      ,35.0      ,2562      ,28.3      ,71.7
YKL189W   ,36.0      ,34.5      ,1200      ,29.5      ,70.5
YKL190W   ,40.6      ,32.1      ,604       ,27.3      ,72.7
YKL191W   ,45.7      ,28.0      ,1605      ,26.2      ,73.8
YKL192C   ,44.7      ,27.2      ,378       ,28.0      ,72.0
YKL193C   ,35.8      ,36.7      ,1017      ,27.5      ,72.5
YKL194C   ,39.0      ,32.1      ,1389      ,28.9      ,71.1
YKL195W   ,41.0      ,38.1      ,1284      ,20.9      ,79.1
YKL198C   ,51.9      ,25.8      ,1951      ,22.3      ,77.7
YKL201C   ,38.2      ,36.5      ,3537      ,25.3      ,74.7
YKL203C   ,38.4      ,31.9      ,7422      ,29.7      ,70.3
YKL204W   ,40.9      ,36.3      ,1899      ,22.8      ,77.2
YKL205W   ,33.7      ,34.8      ,3303      ,31.6      ,68.4
YKL206C   ,41.0      ,30.8      ,804       ,28.1      ,71.9
YKL207W   ,43.9      ,29.1      ,783       ,26.9      ,73.1
YKL208W   ,42.3      ,32.2      ,816       ,25.5      ,74.5
YKL210W   ,40.6      ,30.3      ,3075      ,29.1      ,70.9
YKL211C   ,43.2      ,29.5      ,1455      ,27.3      ,72.7
YKL212W   ,40.9      ,30.2      ,1872      ,28.8      ,71.2
YKL213C   ,39.7      ,31.8      ,2148      ,28.5      ,71.5
YKL214C   ,41.3      ,35.6      ,612       ,23.0      ,77.0
YKL215C   ,40.1      ,31.7      ,3861      ,28.2      ,71.8
YKL216W   ,38.6      ,31.4      ,945       ,29.9      ,70.1
YKL217W   ,42.0      ,26.8      ,1851      ,31.2      ,68.8
YKL218C   ,43.6      ,29.9      ,981       ,26.5      ,73.5
YKL219W   ,38.8      ,29.2      ,1224      ,32.0      ,68.0
YKL220C   ,39.1      ,28.9      ,2136      ,32.0      ,68.0
YKL221W   ,39.3      ,25.7      ,1422      ,35.0      ,65.0
YKL222C   ,35.9      ,34.0      ,2118      ,30.1      ,69.9
YKR001C   ,38.3      ,33.3      ,2115      ,28.3      ,71.7
YKR002W   ,39.0      ,33.3      ,1707      ,27.7      ,72.3
YKR003W   ,38.1      ,35.0      ,1347      ,26.9      ,73.1
YKR004C   ,33.0      ,33.6      ,879       ,33.4      ,66.6
YKR005C   ,38.7      ,34.3      ,1344      ,27.0      ,73.0
YKR006C   ,40.2      ,34.3      ,828       ,25.5      ,74.5
YKR007W   ,45.4      ,35.9      ,555       ,18.7      ,81.3
YKR008W   ,34.7      ,36.5      ,1878      ,28.8      ,71.2
YKR014C   ,38.0      ,35.9      ,705       ,26.1      ,73.9
YKR015C   ,36.6      ,38.3      ,1707      ,25.2      ,74.8
YKR016W   ,37.5      ,37.3      ,1623      ,25.1      ,74.9
YKR017C   ,37.1      ,34.0      ,1656      ,28.9      ,71.1
YKR018C   ,40.4      ,31.4      ,2178      ,28.3      ,71.7
YKR019C   ,43.1      ,33.7      ,1848      ,23.3      ,76.7
YKR020W   ,39.4      ,41.6      ,495       ,19.0      ,81.0
YKR021W   ,39.4      ,33.4      ,2748      ,27.3      ,72.7
YKR022C   ,38.0      ,39.0      ,969       ,23.0      ,77.0
YKR023W   ,37.7      ,40.2      ,1593      ,22.1      ,77.9
YKR028W   ,37.3      ,34.8      ,3297      ,27.9      ,72.1
YKR030W   ,34.7      ,29.4      ,822       ,35.9      ,64.1
YKR031C   ,37.3      ,35.3      ,5052      ,27.4      ,72.6
YKR034W   ,43.5      ,33.6      ,810       ,23.0      ,77.0
YKR035W   ,40.8      ,37.9      ,615       ,21.3      ,78.7
YKR036C   ,39.6      ,34.9      ,1980      ,25.5      ,74.5
YKR037C   ,40.3      ,34.5      ,888       ,25.2      ,74.8
YKR038C   ,43.8      ,30.5      ,1266      ,25.7      ,74.3
YKR039W   ,42.8      ,24.4      ,1809      ,32.8      ,67.2
YKR041W   ,47.8      ,34.8      ,753       ,17.4      ,82.6
YKR042W   ,47.2      ,22.8      ,1353      ,29.9      ,70.1
YKR043C   ,47.1      ,27.6      ,816       ,25.4      ,74.6
YKR044W   ,42.4      ,31.6      ,1332      ,26.0      ,74.0
YKR045C   ,48.1      ,31.8      ,576       ,20.1      ,79.9
YKR046C   ,48.1      ,26.6      ,852       ,25.2      ,74.8
YKR048C   ,51.0      ,29.8      ,1254      ,19.1      ,80.9
YKR049C   ,50.5      ,28.4      ,402       ,21.1      ,78.9
YKR050W   ,45.1      ,28.1      ,2670      ,26.9      ,73.1
YKR051W   ,37.4      ,29.8      ,1257      ,32.8      ,67.2
YKR052C   ,42.3      ,29.9      ,915       ,27.8      ,72.2
YKR053C   ,42.7      ,25.8      ,1215      ,31.4      ,68.6
YKR054C   ,36.9      ,33.3      ,12279     ,29.9      ,70.1
YKR055W   ,40.4      ,32.0      ,876       ,27.6      ,72.4
YKR059W   ,40.4      ,30.2      ,1188      ,29.4      ,70.6
YKR060W   ,36.6      ,38.1      ,825       ,25.3      ,74.7
YKR061W   ,38.5      ,31.8      ,1278      ,29.7      ,70.3
YKR062W   ,40.0      ,35.5      ,987       ,24.5      ,75.5
YKR063C   ,37.5      ,35.9      ,1509      ,26.6      ,73.4
YKR064W   ,35.0      ,35.0      ,2592      ,30.0      ,70.0
YKR065C   ,41.4      ,28.5      ,594       ,30.1      ,69.9
YKR066C   ,48.2      ,27.3      ,1086      ,24.6      ,75.4
YKR067W   ,40.3      ,29.5      ,2232      ,30.2      ,69.8
YKR068C   ,38.7      ,32.5      ,582       ,28.9      ,71.1
YKR069W   ,41.1      ,31.6      ,1782      ,27.2      ,72.8
YKR070W   ,40.5      ,30.7      ,1059      ,28.8      ,71.2
YKR071C   ,37.5      ,35.6      ,1047      ,26.8      ,73.2
YKR072C   ,43.5      ,34.8      ,1689      ,21.7      ,78.3
YKR074W   ,36.5      ,37.6      ,468       ,25.9      ,74.1
YKR075C   ,40.0      ,34.3      ,924       ,25.6      ,74.4
YKR076W   ,41.5      ,32.7      ,1113      ,25.8      ,74.2
YKR077W   ,40.8      ,33.2      ,1092      ,26.0      ,74.0
YKR078W   ,35.6      ,37.8      ,1758      ,26.6      ,73.4
YKR079C   ,36.3      ,35.0      ,2517      ,28.7      ,71.3
YKR080W   ,39.7      ,33.3      ,963       ,27.0      ,73.0
YKR081C   ,38.1      ,35.7      ,1035      ,26.3      ,73.7
YKR082W   ,35.3      ,34.4      ,3474      ,30.3      ,69.7
YKR083C   ,36.3      ,40.5      ,402       ,23.1      ,76.9
YKR084C   ,39.6      ,32.5      ,1836      ,27.9      ,72.1
YKR085C   ,44.6      ,32.5      ,588       ,23.0      ,77.0
YKR086W   ,38.3      ,34.8      ,3216      ,26.9      ,73.1
YKR087C   ,38.1      ,31.6      ,945       ,30.3      ,69.7
YKR088C   ,37.2      ,29.3      ,1014      ,33.5      ,66.5
YKR089C   ,39.8      ,33.0      ,2733      ,27.2      ,72.8
YKR090W   ,41.5      ,34.2      ,2121      ,24.3      ,75.7
YKR091W   ,44.4      ,29.8      ,459       ,25.7      ,74.3
YKR098C   ,36.1      ,35.6      ,2154      ,28.3      ,71.7
YKR099W   ,39.9      ,36.6      ,2436      ,23.4      ,76.6
YKR100C   ,39.5      ,34.6      ,726       ,25.9      ,74.1
YKR103W   ,36.9      ,30.9      ,4677      ,32.2      ,67.8
YLL001W   ,37.8      ,33.1      ,2274      ,29.1      ,70.9
YLL002W   ,39.1      ,33.5      ,1311      ,27.5      ,72.5
YLL003W   ,36.6      ,36.6      ,2841      ,26.8      ,73.2
YLL004W   ,35.4      ,34.5      ,1851      ,30.0      ,70.0
YLL005C   ,33.1      ,32.5      ,2607      ,34.3      ,65.7
YLL009C   ,41.9      ,39.0      ,210       ,19.0      ,81.0
YLL010C   ,42.1      ,33.3      ,1284      ,24.6      ,75.4
YLL011W   ,38.1      ,34.8      ,1470      ,27.1      ,72.9
YLL013C   ,40.9      ,33.3      ,2640      ,25.8      ,74.2
YLL014W   ,38.8      ,26.9      ,327       ,34.3      ,65.7
YLL016W   ,37.6      ,33.0      ,3760      ,29.4      ,70.6
YLL018C   ,44.3      ,30.6      ,1674      ,25.1      ,74.9
YLL019C   ,42.0      ,32.8      ,2214      ,25.2      ,74.8
YLL021W   ,40.1      ,36.7      ,4401      ,23.1      ,76.9
YLL022C   ,46.5      ,30.8      ,1158      ,22.6      ,77.4
YLL023C   ,43.5      ,26.1      ,840       ,30.5      ,69.5
YLL027W   ,45.6      ,32.7      ,753       ,21.8      ,78.2
YLL028W   ,44.7      ,23.2      ,1761      ,32.1      ,67.9
YLL029W   ,42.7      ,31.2      ,2250      ,26.1      ,73.9
YLL031C   ,37.4      ,29.7      ,3054      ,32.9      ,67.1
YLL032C   ,34.5      ,36.8      ,2478      ,28.7      ,71.3
YLL033W   ,35.8      ,35.6      ,693       ,28.6      ,71.4
YLL034C   ,39.0      ,34.0      ,2514      ,27.0      ,73.0
YLL035W   ,39.0      ,31.8      ,1899      ,29.2      ,70.8
YLL036C   ,40.7      ,33.5      ,1512      ,25.9      ,74.1
YLL038C   ,46.5      ,33.3      ,744       ,20.2      ,79.8
YLL039C   ,41.4      ,32.6      ,1146      ,25.9      ,74.1
YLL040C   ,37.6      ,33.8      ,9435      ,28.6      ,71.4
YLL041C   ,42.2      ,31.0      ,801       ,26.8      ,73.2
YLL042C   ,37.7      ,31.2      ,504       ,31.2      ,68.8
YLL043W   ,42.2      ,29.6      ,2010      ,28.2      ,71.8
YLL045C   ,45.1      ,30.4      ,771       ,24.5      ,75.5
YLL046C   ,33.3      ,43.1      ,750       ,23.6      ,76.4
YLL052C   ,45.8      ,21.3      ,859       ,32.9      ,67.1
YLL055W   ,38.7      ,28.6      ,1596      ,32.8      ,67.2
YLL056C   ,42.9      ,28.0      ,897       ,29.1      ,70.9
YLL057C   ,42.0      ,29.9      ,1239      ,28.1      ,71.9
YLL060C   ,46.2      ,30.2      ,702       ,23.6      ,76.4
YLL061W   ,42.8      ,24.3      ,1752      ,32.9      ,67.1
YLR002C   ,37.8      ,35.5      ,1992      ,26.7      ,73.3
YLR003C   ,33.9      ,39.0      ,876       ,27.1      ,72.9
YLR004C   ,40.1      ,27.4      ,1572      ,32.6      ,67.4
YLR005W   ,40.8      ,32.2      ,1386      ,27.1      ,72.9
YLR006C   ,41.4      ,33.1      ,2139      ,25.5      ,74.5
YLR007W   ,41.4      ,32.7      ,1011      ,25.8      ,74.2
YLR008C   ,38.5      ,32.7      ,507       ,28.8      ,71.2
YLR009W   ,38.5      ,39.0      ,600       ,22.5      ,77.5
YLR010C   ,35.6      ,32.3      ,483       ,32.1      ,67.9
YLR011W   ,42.2      ,33.9      ,576       ,24.0      ,76.0
YLR012C   ,36.0      ,38.2      ,369       ,25.7      ,74.3
YLR013W   ,39.7      ,34.5      ,426       ,25.8      ,74.2
YLR014C   ,38.6      ,32.3      ,2715      ,29.1      ,70.9
YLR015W   ,39.7      ,35.9      ,1518      ,24.4      ,75.6
YLR016C   ,42.4      ,32.5      ,615       ,25.0      ,75.0
YLR017W   ,42.5      ,30.5      ,1014      ,27.0      ,73.0
YLR018C   ,43.8      ,33.0      ,900       ,23.2      ,76.8
YLR019W   ,43.0      ,32.3      ,1194      ,24.6      ,75.4
YLR020C   ,38.3      ,32.5      ,1617      ,29.3      ,70.7
YLR021W   ,39.8      ,35.6      ,540       ,24.6      ,75.4
YLR022C   ,37.6      ,36.4      ,753       ,26.0      ,74.0
YLR023C   ,39.2      ,28.2      ,1632      ,32.6      ,67.4
YLR024C   ,35.5      ,34.5      ,5619      ,30.0      ,70.0
YLR025W   ,40.1      ,38.7      ,723       ,21.2      ,78.8
YLR026C   ,39.6      ,37.9      ,1023      ,22.5      ,77.5
YLR027C   ,45.6      ,28.6      ,1299      ,25.8      ,74.2
YLR028C   ,43.1      ,29.7      ,1776      ,27.1      ,72.9
YLR029C   ,43.3      ,34.3      ,615       ,22.4      ,77.6
YLR030W   ,37.7      ,36.2      ,1496      ,26.1      ,73.9
YLR034C   ,38.7      ,25.5      ,1422      ,35.8      ,64.2
YLR039C   ,34.5      ,36.3      ,3171      ,29.1      ,70.9
YLR040C   ,42.5      ,28.1      ,675       ,29.3      ,70.7
YLR042C   ,39.5      ,29.2      ,486       ,31.3      ,68.7
YLR043C   ,41.3      ,29.8      ,312       ,28.8      ,71.2
YLR044C   ,45.4      ,26.4      ,1692      ,28.2      ,71.8
YLR047C   ,38.4      ,30.0      ,2061      ,31.5      ,68.5
YLR048W   ,40.9      ,30.5      ,1118      ,28.6      ,71.4
YLR049C   ,35.9      ,34.3      ,1287      ,29.8      ,70.2
YLR050C   ,40.9      ,27.0      ,486       ,32.1      ,67.9
YLR051C   ,38.1      ,39.0      ,654       ,22.9      ,77.1
YLR055C   ,47.7      ,28.5      ,1809      ,23.9      ,76.1
YLR056W   ,43.1      ,25.9      ,1098      ,31.1      ,68.9
YLR057W   ,38.0      ,34.0      ,2550      ,27.9      ,72.1
YLR058C   ,42.7      ,29.1      ,1410      ,28.2      ,71.8
YLR059C   ,48.1      ,29.1      ,810       ,22.7      ,77.3
YLR064W   ,36.4      ,28.2      ,822       ,35.4      ,64.6
YLR065C   ,38.3      ,31.7      ,546       ,30.0      ,70.0
YLR066W   ,34.8      ,36.0      ,555       ,29.2      ,70.8
YLR067C   ,35.7      ,35.4      ,2898      ,28.9      ,71.1
YLR068W   ,37.7      ,46.3      ,456       ,16.0      ,84.0
YLR069C   ,40.2      ,30.8      ,2286      ,29.0      ,71.0
YLR070C   ,44.5      ,30.7      ,1071      ,24.7      ,75.3
YLR072W   ,43.1      ,31.0      ,2082      ,25.9      ,74.1
YLR073C   ,42.8      ,31.3      ,603       ,25.9      ,74.1
YLR074C   ,47.7      ,31.9      ,501       ,20.4      ,79.6
YLR075W   ,44.1      ,29.7      ,666       ,26.1      ,73.9
YLR077W   ,41.3      ,32.6      ,1752      ,26.1      ,73.9
YLR080W   ,38.7      ,35.4      ,1335      ,25.9      ,74.1
YLR081W   ,42.1      ,24.7      ,1725      ,33.2      ,66.8
YLR082C   ,36.6      ,38.7      ,1179      ,24.8      ,75.2
YLR083C   ,37.9      ,27.0      ,2004      ,35.1      ,64.9
YLR084C   ,37.9      ,31.0      ,3663      ,31.1      ,68.9
YLR085C   ,40.8      ,31.7      ,1317      ,27.6      ,72.4
YLR086W   ,37.8      ,37.7      ,4257      ,24.5      ,75.5
YLR087C   ,37.5      ,32.9      ,8877      ,29.6      ,70.4
YLR088W   ,37.7      ,28.9      ,1845      ,33.4      ,66.6
YLR089C   ,40.6      ,30.8      ,1779      ,28.6      ,71.4
YLR090W   ,43.9      ,32.0      ,1380      ,24.1      ,75.9
YLR091W   ,46.0      ,30.5      ,882       ,23.5      ,76.5
YLR092W   ,41.7      ,28.6      ,2682      ,29.8      ,70.2
YLR093C   ,37.2      ,34.0      ,903       ,28.8      ,71.2
YLR094C   ,45.3      ,31.3      ,1509      ,23.3      ,76.7
YLR095C   ,42.4      ,34.6      ,2439      ,23.0      ,77.0
YLR096W   ,39.5      ,34.2      ,3444      ,26.3      ,73.7
YLR097C   ,36.5      ,34.1      ,1035      ,29.4      ,70.6
YLR098C   ,37.8      ,33.2      ,1947      ,29.0      ,71.0
YLR099C   ,46.5      ,30.0      ,1185      ,23.5      ,76.5
YLR100W   ,41.4      ,29.9      ,1044      ,28.7      ,71.3
YLR105C   ,40.3      ,33.3      ,1134      ,26.4      ,73.6
YLR110C   ,52.0      ,18.7      ,402       ,29.4      ,70.6
YLR111W   ,47.7      ,22.8      ,333       ,29.4      ,70.6
YLR116W   ,42.9      ,32.9      ,1431      ,24.2      ,75.8
YLR117C   ,37.4      ,36.1      ,2064      ,26.5      ,73.5
YLR119W   ,34.9      ,42.1      ,642       ,23.1      ,76.9
YLR120C   ,43.5      ,26.8      ,1710      ,29.7      ,70.3
YLR121C   ,49.0      ,26.4      ,1527      ,24.6      ,75.4
YLR125W   ,40.6      ,35.3      ,411       ,24.1      ,75.9
YLR126C   ,38.9      ,34.0      ,756       ,27.1      ,72.9
YLR127C   ,34.7      ,35.6      ,2562      ,29.7      ,70.3
YLR128W   ,40.0      ,32.5      ,904       ,27.4      ,72.6
YLR129W   ,38.1      ,33.3      ,2832      ,28.6      ,71.4
YLR130C   ,42.1      ,27.0      ,1269      ,30.9      ,69.1
YLR133W   ,41.2      ,31.8      ,1749      ,27.0      ,73.0
YLR134W   ,42.2      ,27.6      ,1692      ,30.2      ,69.8
YLR138W   ,40.9      ,32.0      ,2958      ,27.1      ,72.9
YLR139C   ,41.3      ,32.0      ,1932      ,26.7      ,73.3
YLR164W   ,42.6      ,25.4      ,507       ,32.0      ,68.0
YLR165C   ,37.8      ,35.6      ,765       ,26.7      ,73.3
YLR166C   ,32.6      ,36.5      ,2616      ,30.8      ,69.2
YLR167W   ,42.3      ,32.7      ,459       ,25.1      ,74.9
YLR168C   ,38.4      ,36.1      ,693       ,25.5      ,74.5
YLR173W   ,41.1      ,31.4      ,1827      ,27.5      ,72.5
YLR174W   ,41.8      ,31.6      ,1239      ,26.6      ,73.4
YLR175W   ,39.7      ,33.7      ,1452      ,26.6      ,73.4
YLR176C   ,38.8      ,33.9      ,2436      ,27.3      ,72.7
YLR177W   ,42.9      ,30.8      ,1887      ,26.2      ,73.8
YLR178C   ,47.9      ,29.8      ,660       ,22.3      ,77.7
YLR179C   ,48.0      ,26.6      ,606       ,25.4      ,74.6
YLR180W   ,47.4      ,27.1      ,1149      ,25.5      ,74.5
YLR181C   ,39.4      ,36.7      ,993       ,24.0      ,76.0
YLR182W   ,37.4      ,37.5      ,2412      ,25.0      ,75.0
YLR188W   ,41.4      ,30.3      ,2088      ,28.4      ,71.6
YLR189C   ,38.7      ,33.4      ,3597      ,27.9      ,72.1
YLR190W   ,41.3      ,34.9      ,1476      ,23.8      ,76.2
YLR191W   ,40.7      ,32.9      ,1161      ,26.4      ,73.6
YLR192C   ,42.6      ,34.5      ,798       ,22.9      ,77.1
YLR193C   ,41.3      ,33.5      ,528       ,25.2      ,74.8
YLR194C   ,48.0      ,30.3      ,765       ,21.7      ,78.3
YLR195C   ,38.0      ,34.1      ,1368      ,27.9      ,72.1
YLR196W   ,40.4      ,31.5      ,1731      ,28.1      ,71.9
YLR200W   ,37.7      ,42.3      ,345       ,20.0      ,80.0
YLR201C   ,38.7      ,30.3      ,783       ,31.0      ,69.0
YLR207W   ,41.4      ,32.5      ,2502      ,26.1      ,73.9
YLR208W   ,43.6      ,28.0      ,894       ,28.4      ,71.6
YLR209C   ,42.5      ,29.3      ,936       ,28.2      ,71.8
YLR210W   ,38.1      ,34.4      ,1383      ,27.5      ,72.5
YLR211C   ,33.4      ,40.3      ,740       ,26.4      ,73.6
YLR216C   ,38.2      ,34.3      ,1116      ,27.5      ,72.5
YLR218C   ,45.5      ,34.4      ,453       ,20.1      ,79.9
YLR219W   ,44.3      ,34.3      ,2187      ,21.4      ,78.6
YLR220W   ,42.8      ,28.2      ,969       ,29.0      ,71.0
YLR221C   ,37.6      ,39.2      ,663       ,23.2      ,76.8
YLR222C   ,37.6      ,33.4      ,2454      ,29.0      ,71.0
YLR223C   ,37.4      ,39.3      ,3258      ,23.2      ,76.8
YLR224W   ,40.0      ,32.0      ,1110      ,28.0      ,72.0
YLR225C   ,36.4      ,34.7      ,1224      ,28.9      ,71.1
YLR226W   ,34.3      ,37.4      ,1188      ,28.3      ,71.7
YLR233C   ,36.0      ,34.2      ,2100      ,29.8      ,70.2
YLR234W   ,48.6      ,31.2      ,1971      ,20.2      ,79.8
YLR237W   ,42.8      ,23.9      ,1797      ,33.3      ,66.7
YLR241W   ,39.0      ,29.8      ,2349      ,31.2      ,68.8
YLR242C   ,34.0      ,30.8      ,966       ,35.2      ,64.8
YLR243W   ,38.7      ,32.6      ,819       ,28.7      ,71.3
YLR248W   ,40.4      ,33.4      ,1833      ,26.2      ,73.8
YLR249W   ,41.8      ,29.7      ,3135      ,28.5      ,71.5
YLR250W   ,38.0      ,34.5      ,705       ,27.5      ,72.5
YLR251W   ,38.6      ,29.0      ,594       ,32.5      ,67.5
YLR253W   ,40.8      ,31.5      ,1710      ,27.7      ,72.3
YLR254C   ,39.8      ,39.5      ,570       ,20.7      ,79.3
YLR256W   ,41.4      ,31.8      ,4509      ,26.9      ,73.1
YLR258W   ,41.6      ,29.5      ,2118      ,28.8      ,71.2
YLR259C   ,43.2      ,28.3      ,1719      ,28.5      ,71.5
YLR260W   ,39.6      ,34.4      ,2064      ,26.0      ,74.0
YLR262C   ,36.1      ,37.0      ,648       ,26.9      ,73.1
YLR263W   ,35.2      ,39.1      ,2484      ,25.7      ,74.3
YLR264W   ,45.1      ,25.0      ,204       ,29.9      ,70.1
YLR265C   ,34.7      ,35.5      ,1029      ,29.8      ,70.2
YLR266C   ,35.7      ,32.2      ,2106      ,32.1      ,67.9
YLR267W   ,35.9      ,33.2      ,1713      ,30.9      ,69.1
YLR268W   ,39.7      ,32.2      ,645       ,28.1      ,71.9
YLR270W   ,38.5      ,33.0      ,1053      ,28.6      ,71.4
YLR271W   ,36.1      ,41.1      ,825       ,22.8      ,77.2
